File name,Method,PSNR,SSIM,BPP
1.1.05.tiff,Oliveira propose,"[23.030295686681388, 24.923734375373936, 25.552503945954026, 26.316586188860338, 26.660133456108458, 27.22218592231828, 27.51201753316085, 27.77218344828562, 28.125980038718343, 28.229071716515417, 28.504195983145955, 29.065681194343455, 29.82104462752779, 30.280956522053764, 30.845572159936573, 32.04191009117236, 33.41682416848591, 36.77593923300166, 42.37860254010322]","[0.5003967334946241, 0.6715976547279832, 0.7197666046509185, 0.759656000136883, 0.7813639862504668, 0.8104199777863743, 0.8256701249749017, 0.8356952516240002, 0.8496818791687295, 0.8530542832633344, 0.861572954742896, 0.8797911593769357, 0.900187630830138, 0.9104295122374799, 0.9219640507867112, 0.9413003713846255, 0.9568992963760016, 0.9798542792789415, 0.9943675976718713]","[0.240203857421875, 0.5604248046875, 0.781005859375, 1.051513671875, 1.20458984375, 1.43865966796875, 1.578704833984375, 1.7117919921875, 1.88629150390625, 1.968536376953125, 2.1300048828125, 2.381988525390625, 2.6455078125, 2.859130859375, 3.093536376953125, 3.6136474609375, 4.14697265625, 5.165771484375, 6.38671875]"
1.1.05.tiff,Brahimi propose,"[21.42376004193588, 23.038368424157483, 23.928106847661518, 24.9225235770816, 24.98924648432814, 25.56443438380525, 26.536237195655538, 26.91632752395792, 27.019548204286316, 27.125388081874135, 27.52972167609439, 28.076148306332097, 28.79516781022121, 29.310562222215847, 29.635017767526808, 30.93757460687161, 32.55973371662479, 34.73111269359398, 40.20544729930087]","[0.2778127233856608, 0.47832190605777825, 0.5710036277390222, 0.6786658689529983, 0.687415491055701, 0.7240699686995079, 0.7781261307619418, 0.7998227999737703, 0.8058332943755058, 0.8108928016695488, 0.8276071044247831, 0.8484605023971363, 0.8719220777913997, 0.8875091612071715, 0.8963153470958842, 0.9234678807139469, 0.9478189024363965, 0.9680181773090144, 0.9907601968663965]","[0.135162353515625, 0.236785888671875, 0.420928955078125, 0.630157470703125, 0.652801513671875, 0.854278564453125, 1.2200927734375, 1.39404296875, 1.435638427734375, 1.47686767578125, 1.645599365234375, 1.889068603515625, 2.26312255859375, 2.510650634765625, 2.655181884765625, 3.271453857421875, 3.93768310546875, 4.792877197265625, 6.151885986328125]"
1.1.06.tiff,DCT,"[20.057338283782702, 22.19183210732506, 23.379395534984223, 24.183442626347688, 24.836184163587113, 25.39352359856688, 25.908053100044643, 26.36849776096815, 26.827039933102576, 27.24285464697102, 27.674648412579916, 28.171115437734862, 28.77136413990851, 29.51973179020525, 30.39661721072353, 31.665990070694487, 33.46778939152111, 36.50974159287128, 42.385456896050385]","[0.6924059269663697, 0.8130772797054527, 0.8574432131790941, 0.8819227233717908, 0.8989993677494031, 0.9116351660100799, 0.9217668067622413, 0.93007106337795, 0.9372854744891237, 0.9431271560203636, 0.9485918537263369, 0.9542356279362002, 0.960240586440528, 0.9665212523628269, 0.9726341718765588, 0.9795945844756603, 0.9865081056221742, 0.9932747500494201, 0.9982528912326435]","[0.535491943359375, 1.010009765625, 1.3624267578125, 1.63275146484375, 1.860382080078125, 2.055816650390625, 2.236083984375, 2.396484375, 2.555999755859375, 2.6956787109375, 2.845245361328125, 3.0225830078125, 3.233062744140625, 3.492828369140625, 3.785369873046875, 4.19842529296875, 4.74346923828125, 5.53778076171875, 6.6363525390625]"
1.1.06.tiff,Oliveira propose,"[19.60688435577672, 21.356630609316753, 22.43869306510815, 23.063702629860643, 23.552608860137447, 24.186912915457807, 25.10156683397404, 25.48807867361213, 25.92382949933706, 26.063480639851335, 26.295751065885717, 27.01835611116719, 27.95495295691456, 28.45074380252155, 29.324327199815784, 31.20930756842304, 32.67499178718479, 36.4884125205098, 42.40545533123901]","[0.6517295402115126, 0.7676752831970267, 0.8235204853557936, 0.8483645040896757, 0.8650171217698273, 0.8828873256586316, 0.9069638848795014, 0.9154575942852471, 0.9238205011555701, 0.9265055509753851, 0.9303516490891822, 0.9412222382548505, 0.9523521580781266, 0.9574301198178473, 0.9652467414934637, 0.977621360982168, 0.9839725706007287, 0.9932591394509086, 0.9982623217031413]","[0.509918212890625, 0.994873046875, 1.35418701171875, 1.641021728515625, 1.845855712890625, 2.0960693359375, 2.373291015625, 2.52679443359375, 2.717529296875, 2.798919677734375, 2.935394287109375, 3.235260009765625, 3.540557861328125, 3.751312255859375, 4.03460693359375, 4.64794921875, 5.0985107421875, 6.029541015625, 6.944000244140625]"
1.1.06.tiff,Brahimi propose,"[17.56569109233364, 19.569484008661483, 20.400155138073156, 21.853993919306795, 22.098274613040346, 22.865919396079406, 23.892877259179354, 24.322033669314, 24.6320836882147, 24.781472299074746, 25.13675515503254, 25.876964570916407, 26.543086703025672, 27.30883084055041, 27.805041049885446, 29.430155645217127, 31.872648937329657, 34.19125802781941, 40.167788578297774]","[0.4072654280944742, 0.6560630418555328, 0.7199829917203691, 0.8017523038622641, 0.8139198559302976, 0.8435863893271084, 0.876405639428144, 0.8879807695754376, 0.8969618257662328, 0.9009024389040067, 0.9084683607372539, 0.9231479998427388, 0.933920185036426, 0.9450169954775173, 0.9509621737461107, 0.9661307397423264, 0.9807639658860364, 0.9886398522945646, 0.9970974627294573]","[0.2149658203125, 0.573486328125, 0.811859130859375, 1.310211181640625, 1.387847900390625, 1.639984130859375, 2.08355712890625, 2.29583740234375, 2.399078369140625, 2.459075927734375, 2.604888916015625, 2.900665283203125, 3.2525634765625, 3.548492431640625, 3.7349853515625, 4.34442138671875, 5.040069580078125, 5.72161865234375, 6.768218994140625]"
1.1.07.tiff,DCT,"[22.52127861599046, 24.88595206362475, 26.208731509365883, 27.096828527429814, 27.773046107844685, 28.296534591465047, 28.746967921957236, 29.107850556282862, 29.468503613435622, 29.785979298081543, 30.118591999640152, 30.516438801516355, 30.995823204288424, 31.60271190843281, 32.309367758754874, 33.354904725425236, 34.82285352943047, 37.27720730549181, 42.466940106067355]","[0.6033558311275099, 0.7642827552337457, 0.8242049461887053, 0.8557246831872988, 0.8758093871728655, 0.8898728091333911, 0.9005563574858043, 0.9083070651727434, 0.9154585671182618, 0.921386461009004, 0.9269940338769386, 0.9332480954464043, 0.9400370268613261, 0.9476976269714198, 0.9553162760720869, 0.9646442100542423, 0.9744748725024133, 0.9851318515821048, 0.9953380650310486]","[0.36004638671875, 0.738250732421875, 1.0335693359375, 1.265716552734375, 1.462982177734375, 1.628631591796875, 1.777435302734375, 1.8974609375, 2.02203369140625, 2.13665771484375, 2.248199462890625, 2.389373779296875, 2.548004150390625, 2.757049560546875, 2.99505615234375, 3.351898193359375, 3.841796875, 4.5892333984375, 5.87213134765625]"
1.1.07.tiff,Oliveira propose,"[22.23048393310519, 24.276282283673986, 25.11242879711677, 25.93501841633616, 26.34259255857788, 27.015748180441364, 27.392797993629667, 27.760538016549305, 28.162314470043455, 28.271429272172092, 28.59178344227547, 29.216550680026877, 30.059481110626784, 30.5763822168484, 31.182303282840355, 32.36358785584612, 33.79594059762805, 36.971425769160085, 42.41656580699647]","[0.5708459945615417, 0.7293307125248332, 0.7783159060352399, 0.8123858827936687, 0.8300680933727141, 0.8540937797156769, 0.8663072762236861, 0.8762674659139066, 0.8873617326860465, 0.8900516938335417, 0.8976309032181481, 0.9111279258949274, 0.9265681390986873, 0.9343255369566964, 0.9424619169866176, 0.9554712790247083, 0.9677736683430405, 0.9839276376291961, 0.9952723492474547]","[0.331085205078125, 0.729461669921875, 0.982025146484375, 1.249908447265625, 1.41729736328125, 1.648040771484375, 1.784637451171875, 1.916229248046875, 2.09033203125, 2.164825439453125, 2.316741943359375, 2.556396484375, 2.80853271484375, 3.007293701171875, 3.22491455078125, 3.67877197265625, 4.174713134765625, 5.105804443359375, 6.298095703125]"
1.1.07.tiff,Brahimi propose,"[20.29346351789444, 21.98128224146221, 22.78145171090702, 24.280279986530765, 24.408181302337493, 25.004424082056318, 26.13390076289264, 26.586009619478155, 26.736088424012124, 26.854625423245455, 27.266424327376157, 27.87949920269704, 28.693773706944757, 29.317893777857485, 29.72182017864292, 31.154453437560456, 32.82732960838429, 35.05307195719845, 40.26847121123316]","[0.26426980090701807, 0.532165736322279, 0.6085722623396805, 0.730267912020271, 0.739729921309309, 0.7708009228381982, 0.8201082319321168, 0.838402835428353, 0.8439764423942737, 0.8480994535424897, 0.8613657860311866, 0.879099094388804, 0.8992830805441117, 0.9127572612008956, 0.9200997380673821, 0.9417592380830687, 0.9597282373989463, 0.9754604333831868, 0.9923280240180986]","[0.147247314453125, 0.3265380859375, 0.520721435546875, 0.853424072265625, 0.8897705078125, 1.09344482421875, 1.476409912109375, 1.663970947265625, 1.71337890625, 1.754669189453125, 1.917510986328125, 2.15606689453125, 2.5164794921875, 2.755218505859375, 2.905914306640625, 3.476654052734375, 4.06146240234375, 4.83612060546875, 6.09417724609375]"
1.1.09.tiff,DCT,"[24.58052876162053, 27.03993426434948, 28.434058979178914, 29.5239159795899, 30.459534083057726, 31.25375527175684, 31.96336308185868, 32.551934727332565, 33.105382863830386, 33.60112493859984, 34.07262074009472, 34.614486196879675, 35.236163993650756, 35.972857867718474, 36.79336508243152, 37.85795513366334, 39.12036579121291, 40.93137541324396, 44.20386759144759]","[0.6702360068518731, 0.7885342644820824, 0.837777327609431, 0.8671696529115275, 0.8885868100918054, 0.9045488030438883, 0.9169721094004987, 0.9261630047335884, 0.9335977601328787, 0.9398375319800375, 0.9454406409196311, 0.9512465810336691, 0.9573257188297918, 0.9636290789934361, 0.9695363797686554, 0.9759547827743297, 0.9818908837337573, 0.9879352506809689, 0.9941051070347163]","[0.29510498046875, 0.454132080078125, 0.59564208984375, 0.71990966796875, 0.841400146484375, 0.951080322265625, 1.055999755859375, 1.14642333984375, 1.23760986328125, 1.32403564453125, 1.407379150390625, 1.51629638671875, 1.63848876953125, 1.79705810546875, 1.96240234375, 2.201019287109375, 2.53033447265625, 3.0430908203125, 4.0377197265625]"
1.1.09.tiff,Oliveira propose,"[24.282978801769058, 26.20735548379359, 27.89905500925432, 28.59040521405185, 29.4809938908083, 30.868051052882244, 31.825163206574686, 32.12238564495044, 32.71129018156011, 32.78209412772334, 33.05015448470814, 33.955767504054236, 35.088884337930025, 35.29696399268564, 35.69741884789395, 36.60704095037103, 38.08660150585951, 39.6125989977545, 43.19180177790209]","[0.6442693514867175, 0.7526090717775181, 0.8184010736821118, 0.8397085589778343, 0.8662890441805338, 0.8965324720771778, 0.9128343063843354, 0.917539957680606, 0.9277386055675975, 0.928780752504699, 0.9328813689722388, 0.9449830227890947, 0.9565685651640673, 0.958389386234192, 0.9620725607843933, 0.9689972125210814, 0.9777654515779579, 0.9838619193498175, 0.9923461867702843]","[0.27978515625, 0.431732177734375, 0.623870849609375, 0.705047607421875, 0.796875, 0.976043701171875, 1.100128173828125, 1.15740966796875, 1.2470703125, 1.279876708984375, 1.37811279296875, 1.593597412109375, 1.72149658203125, 1.84100341796875, 1.9520263671875, 2.213287353515625, 2.621368408203125, 3.170074462890625, 4.328521728515625]"
1.1.09.tiff,Brahimi propose,"[21.691347743773765, 24.53374889852573, 26.467130937231502, 27.68490610492744, 27.956904743456015, 30.055167173017246, 31.031401524995495, 31.25803559375798, 31.27527021839722, 31.538875000128243, 32.622217565113296, 33.48534827520923, 34.07509003153956, 34.4217886503949, 34.69263223876956, 36.2178439064979, 37.380185024081335, 39.144999570670166, 42.4391464982806]","[0.45681673576961074, 0.6541479450113021, 0.7657122702495401, 0.8024958836071796, 0.8120411201047659, 0.8755935867799906, 0.8953666908617599, 0.8996764259114546, 0.8999988371162081, 0.905920591315887, 0.9263507984182221, 0.9378192651996065, 0.9454076172810126, 0.9490401614004556, 0.9519436914955178, 0.9657995165085232, 0.9735045343857217, 0.9821079501694006, 0.991258918618235]","[0.17449951171875, 0.291412353515625, 0.448333740234375, 0.507476806640625, 0.52630615234375, 0.718414306640625, 0.82806396484375, 0.877655029296875, 0.882781982421875, 0.911834716796875, 1.032806396484375, 1.206878662109375, 1.37017822265625, 1.47442626953125, 1.524139404296875, 1.89599609375, 2.3330078125, 2.944366455078125, 4.178192138671875]"
1.1.10.tiff,DCT,"[23.28467141368025, 26.18166936776046, 27.744041415068228, 28.81925578907053, 29.648767904540044, 30.27964956853377, 30.803297324574753, 31.218789717841, 31.624275740224764, 31.971334215762415, 32.314975416453876, 32.717690372807915, 33.19285150453494, 33.78090565865342, 34.45696717000362, 35.46128774255041, 36.836650362441276, 39.01909447592871, 43.28945906446732]","[0.7348101765218998, 0.8545269385368592, 0.8964451522569429, 0.9181286988611149, 0.9318598638593738, 0.9407053146689472, 0.9472038088759812, 0.951898912374222, 0.9560247717508267, 0.959332898060597, 0.9624033716154803, 0.9657167939607362, 0.9692989548871169, 0.9731639926574596, 0.9770254889257531, 0.9817520426606573, 0.9866136673507164, 0.9918514340930723, 0.9969032287909622]","[0.425018310546875, 0.760528564453125, 1.01019287109375, 1.208770751953125, 1.381195068359375, 1.51983642578125, 1.64849853515625, 1.75140380859375, 1.85662841796875, 1.950836181640625, 2.0421142578125, 2.15191650390625, 2.2811279296875, 2.446075439453125, 2.630767822265625, 2.902069091796875, 3.278656005859375, 3.875274658203125, 4.95538330078125]"
1.1.10.tiff,Oliveira propose,"[22.805639761859915, 25.35032399392838, 26.16692597263352, 27.166371610808078, 27.52979835122776, 28.582034063553344, 28.84396912680871, 29.31990662784151, 29.68258443146642, 29.818925163406117, 30.33924055051795, 30.85418575120198, 31.67402382952348, 32.39055520590084, 32.79506546748721, 33.95019537376467, 35.520530084645465, 37.94033765032309, 42.604575739218944]","[0.7040175567415364, 0.8226137876865711, 0.8546691856181867, 0.8804565057996152, 0.890298006807886, 0.9138808007881375, 0.9191237221068578, 0.9271887204053, 0.9331488005446895, 0.9351454656266871, 0.9422612275777932, 0.9485387476070392, 0.9573285938167461, 0.9635890244119603, 0.9667644674492127, 0.9743694430584052, 0.9820357921524051, 0.9895476702752953, 0.9963582969492741]","[0.392822265625, 0.768157958984375, 0.967529296875, 1.20794677734375, 1.341278076171875, 1.571044921875, 1.650177001953125, 1.79473876953125, 1.93206787109375, 2.009002685546875, 2.164642333984375, 2.329132080078125, 2.529937744140625, 2.712615966796875, 2.86358642578125, 3.22900390625, 3.6697998046875, 4.39251708984375, 5.5655517578125]"
